env,algo,rnn,n_episodes,n_frames,train_time,mean_return,std_return
t,sac-default,gru,450,381616,1342.8488,-19.8669,0.0000
t,sac-default,gru,460,391616,1385.7671,-19.8669,0.0000
t,sac-default,gru,470,401616,1428.6429,-19.8669,0.0000
t,sac-default,gru,480,411616,1471.0907,-19.8669,0.0000
t,sac-default,gru,490,421616,1513.9095,-19.8669,0.0000
t,sac-default,gru,500,431616,1556.9273,-19.7571,0.4785
t,sac-default,gru,510,440752,1595.8815,-17.1408,4.1181
t,sac-default,gru,520,449832,1635.5360,-18.4163,4.4068
t,sac-default,gru,530,459272,1675.5205,-19.8669,0.0000
t,sac-default,gru,540,469272,1718.5746,-19.8669,0.0000
t,sac-default,gru,550,479272,1761.8390,-19.8669,0.0000
t,sac-default,gru,560,489272,1805.2986,-19.8669,0.0000
t,sac-default,gru,570,499272,1849.8678,-19.8669,0.0000
t,sac-default,gru,580,509272,1893.2518,-19.8669,0.0000
t,sac-default,gru,590,519272,1937.7066,-19.8669,0.0000
t,sac-default,gru,600,529272,1982.0378,-19.8669,0.0000
t,sac-default,gru,610,539272,2024.9764,-19.8669,0.0000
t,sac-default,gru,620,549272,2067.8314,-19.8669,0.0000
t,sac-default,gru,630,559272,2112.0192,-19.8669,0.0000
t,sac-default,gru,640,569272,2155.4069,-19.8669,0.0000
t,sac-default,gru,650,579272,2199.3177,-19.8669,0.0000
t,sac-default,gru,660,589272,2243.5073,-19.8669,0.0000
t,sac-default,gru,670,599272,2286.0061,-19.6402,0.5437
t,sac-default,gru,680,608832,2326.5523,-19.8669,0.0000
t,sac-default,gru,690,618832,2369.8663,-19.8669,0.0000
t,sac-default,gru,700,628832,2414.2839,-19.8669,0.0000
t,sac-default,gru,710,638832,2458.1118,-19.8669,0.0000
t,sac-default,gru,720,648832,2500.3977,-19.8669,0.0000
t,sac-default,gru,730,658832,2543.4840,-19.8669,0.0000
